(Q-Qo)/mA.h	I/mA	time/s	Ecell/V	
2.204049395965586E+000	1.3608067E-001	5.831486076980713E+004	3.6777260E+000
2.206317527577894E+000	1.3608658E-001	5.837486077265698E+004	3.6780016E+000
2.208585659565023E+000	1.3608263E-001	5.843486077550682E+004	3.6781986E+000
2.210853795339887E+000	1.3609250E-001	5.849486077835667E+004	3.6783168E+000
2.213121935229790E+000	1.3608263E-001	5.855486078120652E+004	3.6786320E+000
2.215390072831901E+000	1.3609053E-001	5.861486078405636E+004	3.6788290E+000
2.217658208372667E+000	1.3608855E-001	5.867486078690621E+004	3.6789472E+000
2.219926346891994E+000	1.3610235E-001	5.873486078975606E+004	3.6792228E+000
2.222194488984057E+000	1.3608263E-001	5.879486079260590E+004	3.6793804E+000
2.224462630181892E+000	1.3608462E-001	5.885486079545575E+004	3.6798139E+000
2.226730768180746E+000	1.3609053E-001	5.891486079830560E+004	3.6800895E+000
2.228998902579860E+000	1.3608658E-001	5.897486080115545E+004	3.6804440E+000
2.231267037265682E+000	1.3609447E-001	5.903486080400529E+004	3.6809168E+000
2.233535168017819E+000	1.3608658E-001	5.909486080685514E+004	3.6813107E+000
2.235803294778798E+000	1.3608855E-001	5.915486080970499E+004	3.6816652E+000
2.238071422892892E+000	1.3608855E-001	5.921486081255483E+004	3.6819804E+000
2.240339548781117E+000	1.3607277E-001	5.927486081540468E+004	3.6822560E+000
2.242607675466562E+000	1.3608658E-001	5.933486081825453E+004	3.6823742E+000
2.244875798879109E+000	1.3610235E-001	5.939486082110438E+004	3.6824529E+000
2.247143927729014E+000	1.3609250E-001	5.945486082395422E+004	3.6827288E+000
2.249412055317362E+000	1.3609053E-001	5.951486082680407E+004	3.6827681E+000
2.251680187234812E+000	1.3609053E-001	5.957486082965392E+004	3.6830440E+000
2.253948315584585E+000	1.3607869E-001	5.963486083250376E+004	3.6831620E+000
2.256216442974566E+000	1.3608067E-001	5.969486083535361E+004	3.6833985E+000
2.258484572089265E+000	1.3607869E-001	5.975486083820346E+004	3.6835561E+000
2.260752700897488E+000	1.3608855E-001	5.981486084105331E+004	3.6837530E+000
2.263020828596610E+000	1.3608067E-001	5.987486084390315E+004	3.6839893E+000
2.265288956976375E+000	1.3608855E-001	5.993486084675300E+004	3.6841862E+000
2.267557087941087E+000	1.3609447E-001	5.999486084960285E+004	3.6843045E+000
2.269825216942810E+000	1.3608855E-001	6.005486085245269E+004	3.6845014E+000
2.272093348942871E+000	1.3609250E-001	6.011486085530254E+004	3.6847770E+000
2.274361479087000E+000	1.3608263E-001	6.017486085815239E+004	3.6849742E+000
2.276629612762216E+000	1.3608462E-001	6.023486086100223E+004	3.6852891E+000
2.278897746412365E+000	1.3610235E-001	6.029486086385208E+004	3.6855257E+000
2.281165886171237E+000	1.3609643E-001	6.035486086670193E+004	3.6856043E+000
2.283434026601273E+000	1.3608855E-001	6.041486086955178E+004	3.6858802E+000
2.285702166860220E+000	1.3609447E-001	6.047486087240162E+004	3.6861558E+000
2.287970307539859E+000	1.3609250E-001	6.053486087525147E+004	3.6862741E+000
2.290238451013946E+000	1.3608855E-001	6.059486087810132E+004	3.6865892E+000
2.292506594177799E+000	1.3607869E-001	6.065486088095116E+004	3.6867073E+000
2.294774733437954E+000	1.3608067E-001	6.071486088380101E+004	3.6871407E+000
2.297042874113413E+000	1.3608263E-001	6.077486088665086E+004	3.6876528E+000
2.299311011822994E+000	1.3608462E-001	6.083486088950071E+004	3.6878498E+000
2.301579147245594E+000	1.3607672E-001	6.089486089235055E+004	3.6882830E+000
2.303847278171372E+000	1.3607869E-001	6.095486089520040E+004	3.6886768E+000
2.306115405106925E+000	1.3608263E-001	6.101486089805025E+004	3.6891103E+000
2.308383533008885E+000	1.3609053E-001	6.107486090090009E+004	3.6893466E+000
2.310651657694429E+000	1.3608462E-001	6.113486090374994E+004	3.6897011E+000
2.312919780095708E+000	1.3608462E-001	6.119486090659979E+004	3.6898587E+000
2.315187901989246E+000	1.3609447E-001	6.125486090944964E+004	3.6900163E+000
2.317456027376287E+000	1.3609053E-001	6.131486091229948E+004	3.6901345E+000
2.319724151553611E+000	1.3608855E-001	6.137486091514933E+004	3.6903315E+000
2.321992277727549E+000	1.3609053E-001	6.143486091799918E+004	3.6904888E+000
2.324260402264355E+000	1.3609447E-001	6.149486092084902E+004	3.6906071E+000
2.326528527142555E+000	1.3608855E-001	6.155486092369887E+004	3.6908829E+000
2.328796653776268E+000	1.3609643E-001	6.161486092654872E+004	3.6910009E+000
2.331064778853696E+000	1.3608855E-001	6.167486092939856E+004	3.6912374E+000
2.333332904444527E+000	1.3608263E-001	6.173486093224841E+004	3.6913950E+000
2.335601031913261E+000	1.3608658E-001	6.179486093509826E+004	3.6916313E+000
2.337869162066314E+000	1.3608855E-001	6.185486093794811E+004	3.6918283E+000
2.340137295235702E+000	1.3608658E-001	6.191486094079795E+004	3.6921041E+000
